COUNTY,COUSUB,FIPS,NAME,2010_Total_Population,2010_White_Alone_Population,2010_Black_Alone_Population,2010_American_Indian_and_Alaska_Native_alone_population,2010_Asian_Alone_Population,2010_Native_Hawaiian_and_Other_Pacific_Islander_alone_Population,2010_Any_other_single_race_alone_Popualtion,2010_Population_two_or_more_races,2010_Hispanic_or_Latino_Population,2020_Total_Population,2020_White_Alone_Population,2020_Black_Alone_Population,2020_American_Indian_and_Alaska_Native_alone_population,2020_Asian_Alone_Population,2020_Native_Hawaiian_and_Other_Pacific_Islander_alone_Population,2020_Any_other_single_race_alone_Popualtion,2020_Population_two_or_more_races,2020_Hispanic_or_Latino_Population,Change_2010_to_2020_Total_Population,Change_2010_to_2020_White_Alone_Population,Change_2010_to_2020_Black_Alone_Population,Change_2010_to_2020_American_Indian_and_Alaska_Native_alone_population,Change_2010_to_2020_Asian_Alone_Population,Change_2010_to_2020_Native_Hawaiian_and_Other_Pacific_Islander_alone_Population,Change_2010_to_2020_Any_other_single_race_alone_Popualtion,Change_2010_to_2020_Population_two_or_more_races,Change_2010_to_2020_Hispanic_or_Latino_Population,Percent_Change_2010_to_2020_Total_Population,Percent_Change_2010_to_2020_White_Alone_Population,Percent_Change_2010_to_2020_Black_Alone_Population,Percent_Change_2010_to_2020_American_Indian_and_Alaska_Native_alone_population,Percent_Change_2010_to_2020_Asian_Alone_Population,Percent_Change_2010_to_2020_Native_Hawaiian_and_Other_Pacific_Islander_alone_Population,Percent_Change_2010_to_2020_Any_other_single_race_alone_Popualtion,Percent_Change_2010_to_2020_Population_two_or_more_races,Percent_Change_2010_to_2020_Hispanic_or_Latino_Population
Butler,59672,4201959672,Petrolia borough,212,212,0,0,0,0,0,0,1,179,168,0,1,0,0,0,10,2,-33,-44,0,1,0,0,0,10,1,-15.60%,-20.80%,,,,,,,100.00%
Butler,62224,4201962224,Portersville borough,235,233,0,0,0,0,0,2,2,231,214,4,2,0,0,2,9,0,-4,-19,4,2,0,0,2,7,-2,-1.70%,-8.20%,,,,,,350.00%,-100.00%
Butler,62752,4201962752,Prospect borough,1169,1148,4,1,5,0,4,7,8,1123,1074,2,2,6,0,1,38,19,-46,-74,-2,1,1,0,-3,31,11,-3.90%,-6.40%,-50.00%,100.00%,20.00%,,-75.00%,442.90%,137.50%
Butler,68056,4201968056,Saxonburg borough,1525,1513,0,0,3,0,1,8,10,1426,1393,5,0,3,0,1,24,13,-99,-120,5,0,0,0,0,16,3,-6.50%,-7.90%,,,0.00%,,0.00%,200.00%,30.00%
Butler,69309,4201969309,Seven Fields borough,2887,2684,64,0,84,0,7,48,48,2919,2607,62,0,72,0,18,160,83,32,-77,-2,0,-12,0,11,112,35,1.10%,-2.90%,-3.10%,,-14.30%,,157.10%,233.30%,72.90%
Butler,71184,4201971184,Slippery Rock borough,3625,3261,201,5,80,0,9,69,41,3081,2547,126,1,177,0,59,171,87,-544,-714,-75,-4,97,0,50,102,46,-15.00%,-21.90%,-37.30%,-80.00%,121.30%,,555.60%,147.80%,112.20%
Butler,71192,4201971192,Slippery Rock township,5614,5300,179,7,53,3,13,59,65,6806,6142,176,7,124,0,80,277,146,1192,842,-3,0,71,-3,67,218,81,21.20%,15.90%,-1.70%,0.00%,134.00%,-100.00%,515.40%,369.50%,124.60%
Butler,75184,4201975184,Summit township,4884,4626,200,1,9,0,10,38,64,4504,4201,115,0,11,0,21,156,63,-380,-425,-85,-1,2,0,11,118,-1,-7.80%,-9.20%,-42.50%,-100.00%,22.20%,,110.00%,310.50%,-1.60%
Butler,79504,4201979504,Valencia borough,551,548,1,0,1,0,0,1,2,537,516,0,0,3,0,9,9,8,-14,-32,-1,0,2,0,9,8,6,-2.50%,-5.80%,-100.00%,,200.00%,,,800.00%,300.00%
Butler,79904,4201979904,Venango township,868,857,0,2,2,0,1,6,1,866,827,10,1,1,0,1,26,3,-2,-30,10,-1,-1,0,0,20,2,-0.20%,-3.50%,,-50.00%,-50.00%,,0.00%,333.30%,200.00%
Butler,81192,4201981192,Washington township,1300,1290,0,0,3,5,1,1,4,1288,1230,1,1,4,0,2,50,10,-12,-60,1,1,1,-5,1,49,6,-0.90%,-4.70%,,,33.30%,-100.00%,100.00%,4900.00%,150.00%
Butler,83376,4201983376,West Liberty borough,343,328,0,0,3,0,0,12,0,335,329,1,0,0,0,1,4,1,-8,1,1,0,-3,0,1,-8,1,-2.30%,0.30%,,,-100.00%,,,-66.70%,
Butler,84064,4201984064,West Sunbury borough,192,185,4,0,1,0,0,2,1,182,175,1,0,0,0,0,6,1,-10,-10,-3,0,-1,0,0,4,0,-5.20%,-5.40%,-75.00%,,-100.00%,,,200.00%,0.00%
Butler,85784,4201985784,Winfield township,3535,3497,9,3,7,1,5,13,14,3361,3196,14,1,5,0,22,123,32,-174,-301,5,-2,-2,-1,17,110,18,-4.90%,-8.60%,55.60%,-66.70%,-28.60%,-100.00%,340.00%,846.20%,128.60%
Butler,86536,4201986536,Worth township,1416,1392,5,0,5,0,3,11,13,1400,1322,12,2,7,1,5,51,18,-16,-70,7,2,2,1,2,40,5,-1.10%,-5.00%,140.00%,,40.00%,,66.70%,363.60%,38.50%
Butler,87272,4201987272,Zelienople borough,3812,3716,34,3,23,3,2,31,26,3912,3708,23,2,23,1,18,137,80,100,-8,-11,-1,0,-2,16,106,54,2.60%,-0.20%,-32.40%,-33.30%,0.00%,-66.70%,800.00%,341.90%,207.70%
Fayette,5288,4205105288,Belle Vernon borough,1093,1032,38,2,6,0,3,12,18,1024,916,30,2,7,0,10,59,27,-69,-116,-8,0,1,0,7,47,9,-6.30%,-11.20%,-21.10%,0.00%,16.70%,,233.30%,391.70%,50.00%
Fayette,9432,4205109432,Brownsville borough,2331,1898,315,3,3,0,0,112,13,2185,1646,301,1,4,9,21,203,32,-146,-252,-14,-2,1,9,21,91,19,-6.30%,-13.30%,-4.40%,-66.70%,33.30%,,,81.30%,146.20%
Fayette,9434,4205109434,Brownsville township,683,628,40,3,0,0,0,12,6,534,476,33,1,0,0,2,22,10,-149,-152,-7,-2,0,0,2,10,4,-21.80%,-24.20%,-17.50%,-66.70%,,,,83.30%,66.70%
Fayette,10152,4205110152,Bullskin township,6966,6897,13,4,13,0,3,36,15,6740,6466,21,2,4,1,15,231,53,-226,-431,8,-2,-9,1,12,195,38,-3.20%,-6.20%,61.50%,-50.00%,-69.20%,,400.00%,541.70%,253.30%
Fayette,15776,4205115776,Connellsville city,7637,7117,343,6,29,10,20,112,55,7031,6301,345,12,28,2,25,318,108,-606,-816,2,6,-1,-8,5,206,53,-7.90%,-11.50%,0.60%,100.00%,-3.40%,-80.00%,25.00%,183.90%,96.40%
Fayette,15784,4205115784,Connellsville township,2391,2354,20,2,0,0,0,15,14,2076,1973,18,6,3,1,1,74,15,-315,-381,-2,4,3,1,1,59,1,-13.20%,-16.20%,-10.00%,200.00%,,,,393.30%,7.10%
Fayette,18360,4205118360,Dawson borough,367,353,4,1,0,0,0,9,0,352,324,5,9,0,0,1,13,6,-15,-29,1,8,0,0,1,4,6,-4.10%,-8.20%,25.00%,800.00%,,,,44.40%,
Fayette,20216,4205120216,Dunbar borough,1042,1023,6,1,3,0,0,9,9,1013,956,7,0,3,0,0,47,9,-29,-67,1,-1,0,0,0,38,0,-2.80%,-6.50%,16.70%,-100.00%,0.00%,,,422.20%,0.00%
Fayette,20224,4205120224,Dunbar township,7126,6949,98,16,12,0,9,42,52,6672,6362,77,8,15,0,4,206,36,-454,-587,-21,-8,3,0,-5,164,-16,-6.40%,-8.40%,-21.40%,-50.00%,25.00%,,-55.60%,390.50%,-30.80%
Fayette,24336,4205124336,Everson borough,793,757,17,0,4,0,6,9,12,771,704,25,0,4,0,4,34,1,-22,-53,8,0,0,0,-2,25,-11,-2.80%,-7.00%,47.10%,,0.00%,,-33.30%,277.80%,-91.70%
Fayette,24536,4205124536,Fairchance borough,1975,1894,54,3,0,0,0,24,11,1890,1730,63,2,2,8,4,81,14,-85,-164,9,-1,2,8,4,57,3,-4.30%,-8.70%,16.70%,-33.30%,,,,237.50%,27.30%
Fayette,25456,4205125456,Fayette City borough,596,582,1,0,6,0,4,3,9,502,477,5,0,1,0,1,18,6,-94,-105,4,0,-5,0,-3,15,-3,-15.80%,-18.00%,400.00%,,-83.30%,,-75.00%,500.00%,-33.30%
Fayette,27400,4205127400,Franklin township,2528,2477,23,2,3,0,2,21,6,2378,2278,9,7,1,2,13,68,21,-150,-199,-14,5,-2,2,11,47,15,-5.90%,-8.00%,-60.90%,250.00%,-66.70%,,550.00%,223.80%,250.00%
Fayette,28792,4205128792,Georges township,6612,6490,51,7,7,0,11,46,38,6346,5983,54,11,6,10,11,271,39,-266,-507,3,4,-1,10,0,225,1,-4.00%,-7.80%,5.90%,57.10%,-14.30%,,0.00%,489.10%,2.60%
Fayette,28856,4205128856,German township,5097,4730,301,7,4,0,0,55,14,4669,4203,215,5,8,0,27,211,29,-428,-527,-86,-2,4,0,27,156,15,-8.40%,-11.10%,-28.60%,-28.60%,100.00%,,,283.60%,107.10%
Fayette,33896,4205133896,Henry Clay township,2066,2016,4,8,10,0,4,24,27,1761,1678,11,8,5,0,6,53,18,-305,-338,7,0,-5,0,2,29,-9,-14.80%,-16.80%,175.00%,0.00%,-50.00%,,50.00%,120.80%,-33.30%
Fayette,37872,4205137872,Jefferson township,2015,1974,21,2,6,0,1,11,10,2004,1939,24,4,4,2,2,29,15,-11,-35,3,2,-2,2,1,18,5,-0.50%,-1.80%,14.30%,100.00%,-33.30%,,100.00%,163.60%,50.00%
Fayette,45144,4205145144,Lower Tyrone township,1123,1110,9,0,0,0,1,3,5,1073,1007,14,0,0,0,2,50,7,-50,-103,5,0,0,0,1,47,2,-4.50%,-9.30%,55.60%,,,,100.00%,1566.70%,40.00%
Fayette,45560,4205145560,Luzerne township,5965,4456,1237,5,13,1,216,37,230,5586,4123,1155,8,6,1,130,163,153,-379,-333,-82,3,-7,0,-86,126,-77,-6.40%,-7.50%,-6.60%,60.00%,-53.80%,0.00%,-39.80%,340.50%,-33.50%
Fayette,47560,4205147560,Markleysburg borough,284,275,7,0,0,0,1,1,1,246,231,2,4,0,0,0,9,1,-38,-44,-5,4,0,0,-1,8,0,-13.40%,-16.00%,-71.40%,,,,-100.00%,800.00%,0.00%
Fayette,48000,4205148000,Masontown borough,3450,3157,185,7,13,0,13,75,30,3276,2864,159,13,14,3,15,208,24,-174,-293,-26,6,1,3,2,133,-6,-5.00%,-9.30%,-14.10%,85.70%,7.70%,,15.40%,177.30%,-20.00%
Fayette,48616,4205148616,Menallen township,4205,3997,133,1,3,1,2,68,9,4098,3776,84,6,2,0,13,217,61,-107,-221,-49,5,-1,-1,11,149,52,-2.50%,-5.50%,-36.80%,500.00%,-33.30%,-100.00%,550.00%,219.10%,577.80%
Fayette,53504,4205153504,Newell borough,541,529,2,0,0,0,5,5,7,513,501,1,0,0,0,1,10,11,-28,-28,-1,0,0,0,-4,5,4,-5.20%,-5.30%,-50.00%,,,,-80.00%,100.00%,57.10%
Fayette,54392,4205154392,Nicholson township,1805,1765,8,3,2,2,0,25,8,1732,1646,4,3,5,0,3,71,11,-73,-119,-4,0,3,-2,3,46,3,-4.00%,-6.70%,-50.00%,0.00%,150.00%,-100.00%,,184.00%,37.50%
Fayette,55464,4205155464,North Union township,12728,12102,360,15,44,1,14,192,100,11828,10775,394,12,37,5,47,558,162,-900,-1327,34,-3,-7,4,33,366,62,-7.10%,-11.00%,9.40%,-20.00%,-15.90%,400.00%,235.70%,190.60%,62.00%
Fayette,56408,4205156408,Ohiopyle borough,59,59,0,0,0,0,0,0,0,37,33,0,1,1,0,0,2,1,-22,-26,0,1,1,0,0,2,1,-37.30%,-44.10%,,,,,,,
Fayette,59464,4205159464,Perry township,2552,2481,38,2,4,0,0,27,5,2338,2201,33,7,11,0,6,80,35,-214,-280,-5,5,7,0,6,53,30,-8.40%,-11.30%,-13.20%,250.00%,175.00%,,,196.30%,600.00%
Fayette,59520,4205159520,Perryopolis borough,1784,1747,6,1,8,1,2,19,3,1705,1623,2,2,15,0,4,59,12,-79,-124,-4,1,7,-1,2,40,9,-4.40%,-7.10%,-66.70%,100.00%,87.50%,-100.00%,100.00%,210.50%,300.00%
Fayette,61864,4205161864,Point Marion borough,1159,1137,7,1,1,0,2,11,12,1156,1057,14,0,0,0,2,83,20,-3,-80,7,-1,-1,0,0,72,8,-0.30%,-7.00%,100.00%,-100.00%,-100.00%,,0.00%,654.50%,66.70%
Fayette,63904,4205163904,Redstone township,5566,4845,552,14,9,0,15,131,24,5079,4408,301,12,7,4,32,315,53,-487,-437,-251,-2,-2,4,17,184,29,-8.70%,-9.00%,-45.50%,-14.30%,-22.20%,,113.30%,140.50%,120.80%
Fayette,67640,4205167640,Saltlick township,3461,3434,1,1,4,1,3,17,12,3037,2944,0,1,1,0,13,78,12,-424,-490,-1,0,-3,-1,10,61,0,-12.30%,-14.30%,-100.00%,0.00%,-75.00%,-100.00%,333.30%,358.80%,0.00%
Fayette,69336,4205169336,Seven Springs borough,15,15,0,0,0,0,0,0,0,12,11,0,0,1,0,0,0,0,-3,-4,0,0,1,0,0,0,0,-20.00%,-26.70%,,,,,,,
Fayette,71320,4205171320,Smithfield borough,875,862,5,1,2,0,1,4,4,831,798,0,0,1,0,1,31,3,-44,-64,-5,-1,-1,0,0,27,-1,-5.00%,-7.40%,-100.00%,-100.00%,-50.00%,,0.00%,675.00%,-25.00%
Fayette,72080,4205172080,South Connellsville borough,1970,1918,24,2,3,0,1,22,16,1917,1786,18,3,2,1,20,87,23,-53,-132,-6,1,-1,1,19,65,7,-2.70%,-6.90%,-25.00%,50.00%,-33.30%,,1900.00%,295.50%,43.80%
Fayette,72544,4205172544,South Union township,10681,9979,407,13,124,0,17,141,65,10890,9830,395,15,96,43,60,451,108,209,-149,-12,2,-28,43,43,310,43,2.00%,-1.50%,-2.90%,15.40%,-22.60%,,252.90%,219.90%,66.20%
Fayette,73064,4205173064,Springfield township,3043,2990,16,0,4,0,5,28,12,2732,2623,5,2,0,0,12,90,17,-311,-367,-11,2,-4,0,7,62,5,-10.20%,-12.30%,-68.80%,,-100.00%,,140.00%,221.40%,41.70%
Fayette,73240,4205173240,Springhill township,2907,2853,18,8,4,0,0,24,18,2722,2555,15,3,3,1,9,136,31,-185,-298,-3,-5,-1,1,9,112,13,-6.40%,-10.40%,-16.70%,-62.50%,-25.00%,,,466.70%,72.20%
Fayette,74080,4205174080,Stewart township,731,717,0,1,0,0,4,9,7,623,600,1,0,3,0,0,19,3,-108,-117,1,-1,3,0,-4,10,-4,-14.80%,-16.30%,,-100.00%,,,-100.00%,111.10%,-57.10%
Fayette,78528,4205178528,Uniontown city,10372,8032,1874,29,48,1,33,355,143,9984,7136,1855,28,64,67,125,709,252,-388,-896,-19,-1,16,66,92,354,109,-3.70%,-11.20%,-1.00%,-3.40%,33.30%,6600.00%,278.80%,99.70%,76.20%
Fayette,79344,4205179344,Upper Tyrone township,2059,2022,17,3,1,0,1,15,4,1773,1682,8,2,1,1,7,72,6,-286,-340,-9,-1,0,1,6,57,2,-13.90%,-16.80%,-52.90%,-33.30%,0.00%,,600.00%,380.00%,50.00%
Fayette,79768,4205179768,Vanderbilt borough,476,456,9,0,0,0,1,10,1,419,388,5,0,0,0,2,24,6,-57,-68,-4,0,0,0,1,14,5,-12.00%,-14.90%,-44.40%,,,,100.00%,140.00%,500.00%
Fayette,81232,4205181232,Washington township,3902,3773,56,6,8,5,4,50,13,3894,3641,57,1,5,0,24,166,53,-8,-132,1,-5,-3,-5,20,116,40,-0.20%,-3.50%,1.80%,-83.30%,-37.50%,-100.00%,500.00%,232.00%,307.70%
Fayette,84344,4205184344,Wharton township,3575,3536,5,4,4,1,7,18,11,3355,3160,24,12,13,0,41,105,74,-220,-376,19,8,9,-1,34,87,63,-6.20%,-10.60%,380.00%,200.00%,225.00%,-100.00%,485.70%,483.30%,572.70%
Washington,988,4212500988,Allenport borough,537,532,3,0,0,0,0,2,1,484,458,3,0,0,0,0,23,3,-53,-74,0,0,0,0,0,21,2,-9.90%,-13.90%,0.00%,,,,,1050.00%,200.00%
Washington,2384,4212502384,Amwell township,3751,3675,20,9,8,0,6,33,23,3679,3507,17,2,14,0,4,135,26,-72,-168,-3,-7,6,0,-2,102,3,-1.90%,-4.60%,-15.00%,-77.80%,75.00%,,-33.30%,309.10%,13.00%
Washington,4568,4212504568,Beallsville borough,466,457,2,1,3,0,0,3,3,393,373,0,0,3,0,0,17,3,-73,-84,-2,-1,0,0,0,14,0,-15.70%,-18.40%,-100.00%,-100.00%,0.00%,,,466.70%,0.00%
Washington,5672,4212505672,Bentleyville borough,2581,2461,69,0,6,0,2,43,19,2352,2194,32,7,11,0,12,96,22,-229,-267,-37,7,5,0,10,53,3,-8.90%,-10.80%,-53.60%,,83.30%,,500.00%,123.30%,15.80%
Washington,6840,4212506840,Blaine township,690,678,1,0,4,0,0,7,1,617,591,4,0,0,0,2,20,7,-73,-87,3,0,-4,0,2,13,6,-10.60%,-12.80%,300.00%,,-100.00%,,,185.70%,600.00%
Washington,10032,4212510032,Buffalo township,2069,2038,8,5,2,0,4,12,16,1991,1867,7,3,9,0,8,97,35,-78,-171,-1,-2,7,0,4,85,19,-3.80%,-8.40%,-12.50%,-40.00%,350.00%,,100.00%,708.30%,118.80%
Washington,10224,4212510224,Burgettstown borough,1388,1332,23,2,5,0,1,25,19,1425,1292,21,0,7,0,15,90,43,37,-40,-2,-2,2,0,14,65,24,2.70%,-3.00%,-8.70%,-100.00%,40.00%,,1400.00%,260.00%,126.30%
Washington,10768,4212510768,California borough,6795,6181,450,14,35,0,23,92,100,5362,4581,362,19,75,10,44,271,167,-1433,-1600,-88,5,40,10,21,179,67,-21.10%,-25.90%,-19.60%,35.70%,114.30%,,91.30%,194.60%,67.00%
Washington,11152,4212511152,Canonsburg borough,8992,7857,686,13,94,1,60,281,162,9744,8205,626,17,111,0,122,663,286,752,348,-60,4,17,-1,62,382,124,8.40%,4.40%,-8.70%,30.80%,18.10%,-100.00%,103.30%,135.90%,76.50%
Washington,11176,4212511176,Canton township,8375,7970,254,7,10,0,23,111,88,8209,7390,216,18,19,0,67,499,119,-166,-580,-38,11,9,0,44,388,31,-2.00%,-7.30%,-15.00%,157.10%,90.00%,,191.30%,349.50%,35.20%
Washington,11424,4212511424,Carroll township,5640,5509,64,2,14,0,8,43,69,5380,5056,77,0,18,0,31,198,129,-260,-453,13,-2,4,0,23,155,60,-4.60%,-8.20%,20.30%,-100.00%,28.60%,,287.50%,360.50%,87.00%
Washington,11800,4212511800,Cecil township,11271,10848,197,13,84,2,30,97,82,14609,13301,242,6,320,1,85,654,234,3338,2453,45,-7,236,-1,55,557,152,29.60%,22.60%,22.80%,-53.80%,281.00%,-50.00%,183.30%,574.20%,185.40%
Washington,12224,4212512224,Centerville borough,3263,3149,38,5,8,1,0,62,36,3256,3037,52,4,8,0,11,144,46,-7,-112,14,-1,0,-1,11,82,10,-0.20%,-3.60%,36.80%,-20.00%,0.00%,-100.00%,,132.30%,27.80%
Washington,12704,4212512704,Charleroi borough,4120,3707,233,6,41,0,16,117,78,4234,3306,450,6,52,1,64,355,139,114,-401,217,0,11,1,48,238,61,2.80%,-10.80%,93.10%,0.00%,26.80%,,300.00%,203.40%,78.20%
Washington,12848,4212512848,Chartiers township,7818,7431,221,11,19,1,41,94,102,8632,7809,251,19,41,6,104,402,208,814,378,30,8,22,5,63,308,106,10.40%,5.10%,13.60%,72.70%,115.80%,500.00%,153.70%,327.70%,103.90%
Washington,14000,4212514000,Claysville borough,829,805,4,3,3,0,0,14,5,733,698,3,1,1,1,0,29,5,-96,-107,-1,-2,-2,1,0,15,0,-11.60%,-13.30%,-25.00%,-66.70%,-66.70%,,,107.10%,0.00%
Washington,14568,4212514568,Coal Center borough,139,129,4,0,1,0,0,5,0,110,83,13,0,0,0,0,14,2,-29,-46,9,0,-1,0,0,9,2,-20.90%,-35.70%,225.00%,,-100.00%,,,180.00%,
Washington,14896,4212514896,Cokeburg borough,630,611,6,0,3,0,1,9,2,629,589,3,0,2,0,7,28,6,-1,-22,-3,0,-1,0,6,19,4,-0.20%,-3.60%,-50.00%,,-33.30%,,600.00%,211.10%,200.00%
Washington,17314,4212517314,Cross Creek township,1556,1528,3,1,0,0,0,24,13,1371,1296,10,0,1,0,6,58,16,-185,-232,7,-1,1,0,6,34,3,-11.90%,-15.20%,233.30%,-100.00%,,,,141.70%,23.10%
Washington,18496,4212518496,Deemston borough,722,710,2,3,2,0,1,4,6,754,700,3,2,0,1,7,41,4,32,-10,1,-1,-2,1,6,37,-2,4.40%,-1.40%,50.00%,-33.30%,-100.00%,,600.00%,925.00%,-33.30%
Washington,19464,4212519464,Donegal township,2465,2435,7,1,3,0,2,17,13,2395,2302,4,2,3,0,5,79,20,-70,-133,-3,1,0,0,3,62,7,-2.80%,-5.50%,-42.90%,100.00%,0.00%,,150.00%,364.70%,53.80%
Washington,19536,4212519536,Donora borough,4781,3811,721,5,19,2,43,180,150,4569,3460,636,7,10,0,60,396,103,-212,-351,-85,2,-9,-2,17,216,-47,-4.40%,-9.20%,-11.80%,40.00%,-47.40%,-100.00%,39.50%,120.00%,-31.30%
Washington,20328,4212520328,Dunlevy borough,381,372,5,0,0,0,0,4,0,371,342,10,0,0,0,2,17,6,-10,-30,5,0,0,0,2,13,6,-2.60%,-8.10%,100.00%,,,,,325.00%,
Washington,20808,4212520808,East Bethlehem township,2354,2238,55,7,0,0,1,53,13,2311,2121,49,8,0,0,13,120,18,-43,-117,-6,1,0,0,12,67,5,-1.80%,-5.20%,-10.90%,14.30%,,,1200.00%,126.40%,38.50%
Washington,21144,4212521144,East Finley township,1392,1372,2,0,0,0,0,18,13,1288,1246,4,6,0,0,1,31,5,-104,-126,2,6,0,0,1,13,-8,-7.50%,-9.20%,100.00%,,,,,72.20%,-61.50%
Washington,22016,4212522016,East Washington borough,2234,2018,118,2,23,0,21,52,45,1853,1523,139,0,23,0,28,140,83,-381,-495,21,-2,0,0,7,88,38,-17.10%,-24.50%,17.80%,-100.00%,0.00%,,33.30%,169.20%,84.40%
Washington,22800,4212522800,Elco borough,323,317,2,0,1,0,0,3,0,267,248,1,0,0,1,0,17,3,-56,-69,-1,0,-1,1,0,14,3,-17.30%,-21.80%,-50.00%,,-100.00%,,,466.70%,
Washington,23296,4212523296,Ellsworth borough,1027,985,25,1,0,0,0,16,8,945,842,38,3,0,2,11,49,6,-82,-143,13,2,0,2,11,33,-2,-8.00%,-14.50%,52.00%,200.00%,,,,206.30%,-25.00%
Washington,25104,4212525104,Fallowfield township,4321,4195,69,0,5,0,4,48,33,4099,3863,66,2,7,0,8,153,49,-222,-332,-3,2,2,0,4,105,16,-5.10%,-7.90%,-4.30%,,40.00%,,100.00%,218.80%,48.50%
Washington,25944,4212525944,Finleyville borough,461,430,19,0,3,0,4,5,9,376,334,17,0,4,1,3,17,4,-85,-96,-2,0,1,1,-1,12,-5,-18.40%,-22.30%,-10.50%,,33.30%,,-25.00%,240.00%,-55.60%
Washington,31082,4212531082,Green Hills borough,29,29,0,0,0,0,0,0,0,20,18,0,0,0,0,0,2,1,-9,-11,0,0,0,0,0,2,1,-31.00%,-37.90%,,,,,,,
Washington,32440,4212532440,Hanover township,2673,2623,6,1,10,2,2,29,11,2416,2299,8,4,7,0,8,90,32,-257,-324,2,3,-3,-2,6,61,21,-9.60%,-12.40%,33.30%,300.00%,-30.00%,-100.00%,300.00%,210.30%,190.90%
Washington,35696,4212535696,Hopewell township,957,918,10,6,0,0,0,23,14,852,801,3,0,4,0,5,39,17,-105,-117,-7,-6,4,0,5,16,3,-11.00%,-12.70%,-70.00%,-100.00%,,,,69.60%,21.40%
Washington,35896,4212535896,Houston borough,1296,1189,44,3,5,0,8,47,15,1172,1025,48,1,12,1,11,74,29,-124,-164,4,-2,7,1,3,27,14,-9.60%,-13.80%,9.10%,-66.70%,140.00%,,37.50%,57.40%,93.30%
Washington,36800,4212536800,Independence township,1557,1520,17,2,1,1,1,15,18,1515,1435,8,0,0,0,1,71,25,-42,-85,-9,-2,-1,-1,0,56,7,-2.70%,-5.60%,-52.90%,-100.00%,-100.00%,-100.00%,0.00%,373.30%,38.90%
Washington,37936,4212537936,Jefferson township,1162,1149,2,0,2,0,2,7,14,1119,1052,1,3,1,0,6,56,30,-43,-97,-1,3,-1,0,4,49,16,-3.70%,-8.40%,-50.00%,,-50.00%,,200.00%,700.00%,114.30%
Washington,44512,4212544512,Long Branch borough,447,442,3,2,0,0,0,0,0,421,406,2,0,0,0,0,13,6,-26,-36,-1,-2,0,0,0,13,6,-5.80%,-8.10%,-33.30%,-100.00%,,,,,
Washington,47400,4212547400,Marianna borough,494,454,18,5,0,0,0,17,2,399,337,18,0,1,0,3,40,13,-95,-117,0,-5,1,0,3,23,11,-19.20%,-25.80%,0.00%,-100.00%,,,,135.30%,550.00%
